decision-code,design-choice,weight_avg,weight_min,weight_max,weight_range,choice-option,choice-code,score_avg,cost_avg,score_min,cost_min,score_max,cost_max,score_range,cost_range,weight,score,cost
dc1,Evaluation,0.16,0.1,0.25,0.15,External Auditor,dc1c1,6.67,9.33,6,8,8,10,2,2,0.16,6.67,9.33
dc1,Evaluation,0.16,0.1,0.25,0.15,Internal Reviews,dc1c2,5.33,4.67,4,3,7,8,3,5,0.16,5.33,4.67
dc2,Classes,0.22,0.2,0.25,0.05,Mandatory,dc2c1,8.33,8.67,7,8,9,10,2,2,0.22,8.33,8.67
dc2,Classes,0.22,0.2,0.25,0.05,Electives,dc2c2,6.33,6.67,5,5,8,9,3,4,0.22,6.33,6.67
dc2,Classes,0.22,0.2,0.25,0.05,Mandatory components in courses,dc2c3,8.33,5.67,6,3,10,8,4,5,0.22,8.33,5.67
dc3,Additional Offerings,0.13,0.1,0.15,0.05,MIT Values advocacy,dc3c1,6,4.33,5,2,8,8,3,6,0.13,6,4.33
dc3,Additional Offerings,0.13,0.1,0.15,0.05,Certificates / Tracks / Minor,dc3c2,8,7.67,7,6,9,9,2,3,0.13,8,7.67
dc4,Punishments,0.04,0.025,0.05,0.025,Student-Led,dc4c1,8,6,7,4,9,9,2,5,0.04,8,6
dc4,Punishments,0.04,0.025,0.05,0.025,MIT-Admin-Led,dc4c2,5.67,6.33,5,4,6,8,1,4,0.04,5.67,6.33
dc5,Incentives,0.15,0.05,0.2,0.15,Awards,dc5c1,7.67,4,7,2,9,6,2,4,0.15,7.67,4
dc5,Incentives,0.15,0.05,0.2,0.15,Scholarships,dc5c2,6.67,9.33,4,9,8,10,4,1,0.15,6.67,9.33
dc6,External Engagements,0.18,0.1,0.35,0.25,Case Studies,dc6c1,9,8.33,8,8,10,9,2,1,0.18,9,8.33
dc6,External Engagements,0.18,0.1,0.35,0.25,Publish Journals,dc6c2,7.33,7,4,5,10,10,6,5,0.18,7.33,7
dc6,External Engagements,0.18,0.1,0.35,0.25,Conferences / Seminars / Summit,dc6c3,8.67,9.33,7,9,10,10,3,1,0.18,8.67,9.33
